1294,2026-07-26 06:51:39,boot
91306,2026-07-26 06:53:10,sensorTask timeout
1295,2026-07-26 06:53:11,boot
91307,2026-07-26 06:54:41,sensorTask timeout
1295,2026-07-26 06:54:42,boot
91307,2026-07-26 06:56:13,sensorTask timeout
1296,2026-07-26 06:56:14,boot
96307,2026-07-26 06:57:50,sensorTask timeout
1296,2026-07-26 06:57:51,boot
91308,2026-07-26 06:59:22,sensorTask timeout
1296,2026-07-26 06:59:23,boot
91308,2026-07-26 07:00:54,sensorTask timeout
1297,2026-07-26 07:00:55,boot
91320,2026-07-26 07:02:26,sensorTask timeout
1291,2026-07-26 07:02:27,boot
91303,2026-07-26 07:03:58,sensorTask timeout
1292,2026-07-26 07:03:59,boot
96303,2026-07-26 07:05:35,sensorTask timeout
1292,2026-07-26 07:05:36,boot
91304,2026-07-26 07:07:07,sensorTask timeout
1292,2026-07-26 07:07:08,boot
91304,2026-07-26 07:08:39,sensorTask timeout
1293,2026-07-26 07:08:40,boot
91305,2026-07-26 07:10:11,sensorTask timeout
1293,2026-07-26 07:10:12,boot
91305,2026-07-26 07:11:42,sensorTask timeout
1294,2026-07-26 07:11:43,boot
96305,2026-07-26 07:13:19,sensorTask timeout
1294,2026-07-26 07:13:20,boot
91306,2026-07-26 07:14:51,sensorTask timeout
1294,2026-07-26 07:14:52,boot
91306,2026-07-26 07:16:23,sensorTask timeout
1295,2026-07-26 07:16:24,boot
91307,2026-07-26 07:17:55,sensorTask timeout
1295,2026-07-26 07:17:56,boot
91307,2026-07-26 07:19:27,sensorTask timeout
1296,2026-07-26 07:19:28,boot
96307,2026-07-26 07:21:04,sensorTask timeout
1296,2026-07-26 07:21:05,boot
91308,2026-07-26 07:22:36,sensorTask timeout
1296,2026-07-26 07:22:37,boot
91308,2026-07-26 07:24:08,sensorTask timeout
1297,2026-07-26 07:24:09,boot
91309,2026-07-26 07:25:40,sensorTask timeout
1297,2026-07-26 07:25:41,boot
91309,2026-07-26 07:27:11,sensorTask timeout
1298,2026-07-26 07:27:13,boot
91309,2026-07-26 07:28:43,sensorTask timeout
1298,2026-07-26 07:28:44,boot
91310,2026-07-26 07:30:15,sensorTask timeout
1298,2026-07-26 07:30:16,boot
91310,2026-07-26 07:31:47,sensorTask timeout
1299,2026-07-26 07:31:48,boot
91356,2026-07-26 07:33:19,sensorTask timeout
1294,2026-07-26 07:33:20,boot
96305,2026-07-26 07:34:56,sensorTask timeout
1294,2026-07-26 07:34:57,boot
91306,2026-07-26 07:36:28,sensorTask timeout
1294,2026-07-26 07:36:29,boot
91306,2026-07-26 07:38:00,sensorTask timeout
1295,2026-07-26 07:38:01,boot
91307,2026-07-26 07:39:32,sensorTask timeout
1295,2026-07-26 07:39:33,boot
91307,2026-07-26 07:41:04,sensorTask timeout
1296,2026-07-26 07:41:05,boot
96307,2026-07-26 07:42:41,sensorTask timeout
1296,2026-07-26 07:42:42,boot
91308,2026-07-26 07:44:12,sensorTask timeout
1296,2026-07-26 07:44:14,boot
91308,2026-07-26 07:45:44,sensorTask timeout
1297,2026-07-26 07:45:45,boot
91309,2026-07-26 07:47:16,sensorTask timeout
1297,2026-07-26 07:47:17,boot
91309,2026-07-26 07:48:48,sensorTask timeout
1298,2026-07-26 07:48:49,boot
96309,2026-07-26 07:50:25,sensorTask timeout
1298,2026-07-26 07:50:26,boot
91311,2026-07-26 07:51:57,sensorTask timeout
1292,2026-07-26 07:51:58,boot
91304,2026-07-26 07:53:29,sensorTask timeout
1293,2026-07-26 07:53:30,boot
91305,2026-07-26 07:55:01,sensorTask timeout
1293,2026-07-26 07:55:02,boot
91305,2026-07-26 07:56:33,sensorTask timeout
1294,2026-07-26 07:56:34,boot
96305,2026-07-26 07:58:10,sensorTask timeout
1294,2026-07-26 07:58:11,boot
91306,2026-07-26 07:59:42,sensorTask timeout
1294,2026-07-26 07:59:43,boot
91306,2026-07-26 08:01:13,sensorTask timeout
1294,2026-07-26 08:01:15,boot
91306,2026-07-26 08:02:45,sensorTask timeout
1295,2026-07-26 08:02:46,boot
91309,2026-07-26 08:04:17,sensorTask timeout
1296,2026-07-26 08:04:18,boot
96307,2026-07-26 08:05:54,sensorTask timeout
1296,2026-07-26 08:05:55,boot
91308,2026-07-26 08:07:26,sensorTask timeout
1296,2026-07-26 08:07:27,boot
91308,2026-07-26 08:08:58,sensorTask timeout
1297,2026-07-26 08:08:59,boot
96308,2026-07-26 08:10:35,sensorTask timeout
1297,2026-07-26 08:10:36,boot
91309,2026-07-26 08:12:07,sensorTask timeout
1298,2026-07-26 08:12:08,boot
96309,2026-07-26 08:13:44,sensorTask timeout
1292,2026-07-26 08:13:45,boot
96304,2026-07-26 08:15:21,sensorTask timeout
1293,2026-07-26 08:15:22,boot
91305,2026-07-26 08:16:53,sensorTask timeout
1293,2026-07-26 08:16:54,boot
91305,2026-07-26 08:18:25,sensorTask timeout
1294,2026-07-26 08:18:26,boot
96305,2026-07-26 08:20:01,sensorTask timeout
1294,2026-07-26 08:20:02,boot
91306,2026-07-26 08:21:33,sensorTask timeout
1294,2026-07-26 08:21:34,boot
96306,2026-07-26 08:23:10,sensorTask timeout
1295,2026-07-26 08:23:11,boot
91307,2026-07-26 08:24:42,sensorTask timeout
1296,2026-07-26 08:24:43,boot
96307,2026-07-26 08:26:19,sensorTask timeout
1296,2026-07-26 08:26:20,boot
91308,2026-07-26 08:27:51,sensorTask timeout
1296,2026-07-26 08:27:52,boot
91308,2026-07-26 08:29:23,sensorTask timeout
1297,2026-07-26 08:29:24,boot
91309,2026-07-26 08:30:55,sensorTask timeout
1297,2026-07-26 08:30:56,boot
91309,2026-07-26 08:32:27,sensorTask timeout
1298,2026-07-26 08:32:28,boot
96309,2026-07-26 08:34:04,sensorTask timeout
1298,2026-07-26 08:34:05,boot
91312,2026-07-26 08:35:35,sensorTask timeout
1298,2026-07-26 08:35:37,boot
91310,2026-07-26 08:37:07,sensorTask timeout
1299,2026-07-26 08:37:08,boot
91311,2026-07-26 08:38:39,sensorTask timeout
1299,2026-07-26 08:38:40,boot
91311,2026-07-26 08:40:11,sensorTask timeout
1300,2026-07-26 08:40:12,boot
96311,2026-07-26 08:41:48,sensorTask timeout
1294,2026-07-26 08:41:49,boot
96305,2026-07-26 08:43:25,sensorTask timeout
1294,2026-07-26 08:43:26,boot
91306,2026-07-26 08:44:57,sensorTask timeout
1294,2026-07-26 08:44:58,boot
91306,2026-07-26 08:46:29,sensorTask timeout
1295,2026-07-26 08:46:30,boot
91307,2026-07-26 08:48:01,sensorTask timeout
1296,2026-07-26 08:48:02,boot
96307,2026-07-26 08:49:38,sensorTask timeout
1296,2026-07-26 08:49:39,boot
91308,2026-07-26 08:51:10,sensorTask timeout
1296,2026-07-26 08:51:11,boot
91308,2026-07-26 08:52:41,sensorTask timeout
1297,2026-07-26 08:52:43,boot
96308,2026-07-26 08:54:18,sensorTask timeout
1297,2026-07-26 08:54:19,boot
96308,2026-07-26 08:55:55,sensorTask timeout
1292,2026-07-26 08:55:56,boot
96303,2026-07-26 08:57:32,sensorTask timeout
1292,2026-07-26 08:57:33,boot
91304,2026-07-26 08:59:04,sensorTask timeout
1292,2026-07-26 08:59:05,boot
91304,2026-07-26 09:00:36,sensorTask timeout
1293,2026-07-26 09:00:37,boot
91305,2026-07-26 09:02:08,sensorTask timeout
1293,2026-07-26 09:02:09,boot
91305,2026-07-26 09:03:40,sensorTask timeout
1294,2026-07-26 09:03:41,boot
96305,2026-07-26 09:05:17,sensorTask timeout
1294,2026-07-26 09:05:18,boot
91308,2026-07-26 09:06:49,sensorTask timeout
1294,2026-07-26 09:06:50,boot
91306,2026-07-26 09:08:21,sensorTask timeout
1295,2026-07-26 09:08:22,boot
91307,2026-07-26 09:09:52,sensorTask timeout
1296,2026-07-26 09:09:54,boot
96307,2026-07-26 09:11:29,sensorTask timeout
1296,2026-07-26 09:11:30,boot
96307,2026-07-26 09:13:06,sensorTask timeout
1296,2026-07-26 09:13:07,boot
91308,2026-07-26 09:14:38,sensorTask timeout
1296,2026-07-26 09:14:39,boot
91308,2026-07-26 09:16:10,sensorTask timeout
1297,2026-07-26 09:16:11,boot
91309,2026-07-26 09:17:42,sensorTask timeout
1298,2026-07-26 09:17:43,boot
96309,2026-07-26 09:19:19,sensorTask timeout
1298,2026-07-26 09:19:20,boot
91310,2026-07-26 09:20:51,sensorTask timeout
1298,2026-07-26 09:20:52,boot
91310,2026-07-26 09:22:23,sensorTask timeout
1299,2026-07-26 09:22:24,boot
96310,2026-07-26 09:24:00,sensorTask timeout
1299,2026-07-26 09:24:01,boot
91311,2026-07-26 09:25:32,sensorTask timeout
1300,2026-07-26 09:25:33,boot
1300,2026-07-26 09:26:28,boot
91312,2026-07-26 09:27:59,sensorTask timeout
1300,2026-07-26 09:28:00,boot
